               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12733,            0.042476,                   0,           0.0060345,             0.35294,           0.0076055,           0.0016194,             0.09426,            0.033464,                   0,              0.0892,              0.0012,              0.0012
                   1,             0.11501,             0.04329,                   0,            0.070457,             0.10294,            0.036754,           0.0088992,            0.085276,            0.032743,                   0,            0.077475,           0.0024753,           0.0024753
                   2,             0.10627,            0.049944,                   0,             0.21415,             0.29412,             0.10201,            0.029612,            0.074595,            0.033562,                   0,            0.065725,           0.0037248,           0.0037248
                   3,            0.094815,            0.048597,                   0,             0.23559,             0.26471,             0.14451,             0.04268,            0.072768,            0.029844,                   0,            0.053949,           0.0049485,           0.0049485
                   4,            0.083919,            0.043737,                   0,              0.7094,             0.27941,             0.30089,            0.079827,             0.06734,             0.03023,                   0,            0.042147,           0.0061466,           0.0061466
                   5,            0.086643,            0.049887,                   0,             0.06646,             0.30882,            0.042378,           0.0082675,            0.079207,            0.027181,                   0,            0.030319,           0.0073188,           0.0073188
                   6,            0.086779,            0.044125,                   0,             0.13093,             0.30882,            0.096905,            0.023603,            0.072218,            0.025887,                   0,            0.018465,           0.0084654,           0.0084654
                   7,            0.084728,            0.045838,                   0,             0.40123,             0.30882,             0.26882,            0.073642,            0.068554,            0.022313,                   0,            0.009307,            0.009307,            0.009307
                   8,             0.07707,            0.038501,                   0,             0.40123,             0.30882,             0.26882,            0.073642,            0.068554,            0.022313,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.080671,             0.04537,                   0,             0.28036,             0.36765,             0.23484,            0.061155,            0.068737,            0.021328,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.072274,            0.038548,                   0,              0.3379,             0.35294,             0.22718,            0.047173,            0.070781,            0.020628,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.068331,            0.041653,                   0,             0.32355,             0.48529,             0.26364,            0.063772,            0.062043,            0.021173,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.072038,            0.036581,                   0,              0.1968,             0.32353,             0.18297,            0.055099,             0.07038,            0.019924,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.073082,            0.030232,                   0,             0.27522,             0.35294,             0.25928,            0.086046,            0.062832,            0.020371,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.072717,            0.041805,                   0,             0.27522,             0.35294,             0.25928,            0.086046,            0.062832,            0.020371,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.066826,             0.03849,                   0,             0.54564,             0.33824,             0.36331,             0.15372,            0.057469,            0.020934,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.067036,            0.037866,                   0,             0.58148,             0.30882,             0.34705,             0.12291,            0.063276,            0.020543,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.06983,            0.032707,                   0,             0.44286,             0.38235,             0.33398,            0.099424,            0.056693,            0.020266,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.066745,            0.037683,                   0,             0.52656,             0.48529,             0.48904,             0.17232,            0.054281,            0.021558,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.063362,            0.037098,                   0,             0.52656,             0.48529,             0.48904,             0.17232,            0.054281,            0.021558,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.062008,            0.033944,                   0,             0.52638,             0.47059,             0.48499,             0.17189,            0.053272,            0.020907,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.057219,            0.039691,                   0,              0.5421,             0.52236,             0.57135,             0.24284,            0.049122,            0.019864,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.057608,            0.032723,                   0,             0.61457,             0.55882,             0.57709,             0.29245,            0.047617,            0.019466,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.059627,            0.035382,                   0,             0.29338,             0.47059,             0.24494,            0.085819,            0.057855,            0.020863,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.068894,            0.033698,                   0,             0.29338,             0.47059,             0.24494,            0.085819,            0.057855,            0.020863,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.067542,             0.03423,                   0,             0.19926,             0.47059,             0.18242,            0.057802,            0.062034,            0.021419,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.064717,            0.033769,                   0,             0.26162,                 0.5,             0.27502,             0.12411,            0.056475,            0.021601,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.061547,            0.038543,                   0,             0.67631,             0.44118,             0.56288,              0.2804,            0.044538,            0.021048,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.050426,            0.031802,                   0,             0.47933,             0.54412,             0.48223,             0.16708,            0.049036,            0.020684,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.056585,            0.029935,                   0,             0.61963,                 0.5,             0.53772,             0.21825,            0.042321,            0.021528,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.047171,            0.029019,                   0,             0.61963,                 0.5,             0.53772,             0.21825,            0.042321,            0.021528,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.050192,             0.03256,                   0,             0.84387,             0.55642,              0.6595,              0.2835,            0.040202,            0.020952,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.04506,            0.032807,                   0,             0.67704,             0.61765,               0.603,             0.28047,            0.039245,            0.019495,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.050511,            0.030892,                   0,             0.53206,              0.5184,             0.49359,             0.20114,            0.046663,             0.01829,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.057141,            0.032097,                   0,             0.59302,             0.61765,             0.59818,             0.28304,            0.039594,            0.018781,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.048238,            0.029435,                   0,             0.59302,             0.61765,             0.59818,             0.28304,            0.039594,            0.018781,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.045033,            0.027837,                   0,             0.57385,             0.61765,             0.61423,             0.27676,            0.040324,            0.018726,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.045187,            0.030837,                   0,             0.79074,             0.63235,             0.74735,             0.42502,             0.03651,            0.018292,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.044998,             0.03534,                   0,             0.72125,             0.64706,             0.73258,             0.39961,            0.038678,              0.0174,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.046159,            0.029644,                   0,             0.70978,             0.61148,             0.70383,             0.37779,            0.037423,            0.017267,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.044748,            0.028496,                   0,             0.70978,             0.61148,             0.70383,             0.37779,            0.037423,            0.017267,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.050822,             0.02874,                   0,             0.57682,             0.57353,             0.61524,             0.29975,            0.040066,             0.01708,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.047596,            0.030437,                   0,             0.70986,             0.61765,              0.7241,             0.40619,            0.036819,            0.016526,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.040597,            0.026412,                   0,             0.84729,             0.82353,             0.87062,             0.48282,            0.034243,            0.016655,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.04284,             0.03145,                   0,             0.59373,             0.73075,               0.668,             0.28487,            0.042413,            0.015984,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.052576,            0.026148,                   0,             0.62268,             0.76471,             0.72705,             0.40752,            0.035665,            0.016435,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.040467,            0.024402,                   0,             0.62268,             0.76471,             0.72705,             0.40752,            0.035665,            0.016435,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.035046,            0.026076,                   0,             0.67979,             0.79412,              0.7742,             0.43572,            0.033721,            0.016716,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.033161,            0.022509,                   0,             0.85109,                0.75,             0.85809,             0.49923,            0.031303,            0.016722,                   0,            0.005347,            0.005347,            0.005347
