               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12454,            0.022713,            0.045357,           0.0012142,             0.11529,           0.0016318,          0.00029448,              0.1083,            0.019721,             0.03912,            0.070811,           0.0032432,           0.0032432
                   1,            0.099118,            0.020686,            0.038254,           0.0073202,             0.36344,            0.044351,           0.0094466,            0.080395,            0.020666,             0.03807,            0.040746,           0.0065115,           0.0065115
                   2,            0.081442,            0.018881,            0.036762,             0.80668,              0.1036,            0.061478,            0.019641,            0.079173,            0.017732,            0.035817,            0.010615,           0.0097137,           0.0097137
                   3,            0.074074,            0.017396,            0.033332,              0.1027,             0.29842,            0.087827,            0.022661,            0.075646,            0.016233,            0.032881,            0.009703,            0.009703,            0.009703
                   4,            0.064134,            0.016424,            0.029407,             0.44724,             0.30921,             0.20792,            0.074336,            0.061108,            0.015569,            0.029581,            0.009703,            0.009703,            0.009703
                   5,            0.057749,            0.014858,            0.027804,             0.55435,             0.39459,             0.28663,             0.13838,            0.060985,            0.013072,            0.026797,            0.009604,            0.009604,            0.009604
                   6,            0.054094,            0.013695,            0.025766,             0.70462,              0.4489,             0.45037,             0.19844,             0.05581,            0.012231,            0.024189,            0.009505,            0.009505,            0.009505
                   7,            0.051944,            0.012722,            0.022094,             0.82577,             0.49083,             0.62025,             0.30546,            0.044025,            0.012102,            0.020761,            0.009406,            0.009406,            0.009406
                   8,            0.049571,            0.011586,            0.018779,             0.41238,             0.67131,             0.55008,             0.28562,            0.043256,            0.011583,            0.019276,            0.009307,            0.009307,            0.009307
                   9,            0.047381,            0.011089,            0.017654,             0.57613,             0.66577,             0.71138,             0.39299,             0.04538,            0.010465,            0.017216,            0.009208,            0.009208,            0.009208
                  10,            0.049876,            0.010514,            0.016127,             0.39591,              0.7502,             0.61963,             0.34087,            0.042444,            0.010494,            0.016005,            0.009109,            0.009109,            0.009109
                  11,            0.045356,             0.01018,            0.014843,             0.61053,             0.73835,             0.74305,             0.40014,            0.039394,           0.0099775,            0.014659,             0.00901,             0.00901,             0.00901
                  12,            0.046038,           0.0093261,            0.013131,             0.78657,             0.74188,             0.78858,             0.44495,            0.039314,           0.0093666,            0.013919,            0.008911,            0.008911,            0.008911
                  13,            0.045516,           0.0087794,            0.011514,             0.81889,             0.76719,             0.86091,             0.44982,            0.038149,           0.0091225,            0.012843,            0.008812,            0.008812,            0.008812
                  14,            0.042133,           0.0092528,            0.011006,              0.8564,             0.81977,              0.8625,             0.52657,            0.037908,           0.0088537,            0.011813,            0.008713,            0.008713,            0.008713
                  15,            0.042895,           0.0082754,           0.0093817,             0.91305,             0.80858,             0.90517,             0.55826,            0.034807,           0.0084433,            0.011007,            0.008614,            0.008614,            0.008614
                  16,            0.040595,           0.0087553,           0.0086113,             0.78467,             0.86011,             0.91083,             0.57419,            0.036978,           0.0082718,            0.009964,            0.008515,            0.008515,            0.008515
                  17,            0.038241,           0.0081312,           0.0083105,             0.86448,             0.79706,             0.89648,             0.58583,            0.035564,           0.0081367,           0.0087331,            0.008416,            0.008416,            0.008416
                  18,            0.038913,           0.0078481,           0.0068945,             0.84414,             0.85819,             0.90456,              0.5906,            0.033846,           0.0079965,           0.0081908,            0.008317,            0.008317,            0.008317
                  19,            0.038587,           0.0080887,           0.0066642,             0.91363,             0.84336,             0.92232,             0.59381,            0.033408,           0.0079058,           0.0077496,            0.008218,            0.008218,            0.008218
                  20,            0.037668,           0.0077398,           0.0059569,             0.92114,             0.85034,             0.92123,             0.59142,            0.032795,           0.0077594,            0.007137,            0.008119,            0.008119,            0.008119
                  21,            0.036297,            0.007433,           0.0059418,              0.9292,             0.86342,             0.93421,             0.61833,            0.029355,           0.0076733,           0.0067892,             0.00802,             0.00802,             0.00802
                  22,            0.036235,           0.0077097,            0.005373,             0.94207,             0.85829,             0.93971,             0.63983,            0.033782,           0.0072994,           0.0064207,            0.007921,            0.007921,            0.007921
                  23,            0.035839,           0.0074568,           0.0053383,             0.94761,             0.86396,             0.93945,             0.60434,            0.031236,           0.0074587,           0.0067769,            0.007822,            0.007822,            0.007822
                  24,            0.035052,           0.0073531,           0.0052066,              0.8943,             0.85372,             0.92774,             0.59633,            0.037461,           0.0073439,            0.006954,            0.007723,            0.007723,            0.007723
                  25,            0.035322,           0.0071599,           0.0058826,             0.93959,              0.8906,             0.94362,             0.65176,            0.029588,            0.007205,           0.0067885,            0.007624,            0.007624,            0.007624
                  26,            0.033634,           0.0074479,           0.0044764,             0.92128,             0.89003,             0.94733,             0.63442,            0.028913,           0.0072042,           0.0063602,            0.007525,            0.007525,            0.007525
                  27,            0.034731,           0.0070241,           0.0049934,             0.93618,             0.90345,             0.95283,             0.66115,            0.028995,           0.0069616,           0.0057324,            0.007426,            0.007426,            0.007426
                  28,            0.032296,           0.0071462,           0.0045985,             0.92665,             0.88552,              0.9491,             0.66132,            0.028723,           0.0068897,           0.0054382,            0.007327,            0.007327,            0.007327
                  29,              0.0332,           0.0069309,           0.0048947,             0.95087,             0.88935,             0.94946,             0.65336,            0.030782,           0.0071253,           0.0055672,            0.007228,            0.007228,            0.007228
                  30,            0.031625,           0.0070388,           0.0043089,             0.90499,             0.90715,              0.9551,             0.66778,             0.02705,           0.0068592,           0.0054974,            0.007129,            0.007129,            0.007129
                  31,            0.031481,           0.0068092,           0.0042841,             0.93515,              0.8996,             0.95775,             0.64921,            0.027508,           0.0069761,           0.0053448,             0.00703,             0.00703,             0.00703
                  32,            0.031991,           0.0064389,           0.0043756,             0.90355,             0.89363,             0.95347,             0.61757,            0.029902,           0.0070973,            0.006189,            0.006931,            0.006931,            0.006931
                  33,            0.030498,           0.0064764,           0.0040234,             0.88816,             0.91889,             0.94581,             0.65734,            0.028875,           0.0069433,           0.0061734,            0.006832,            0.006832,            0.006832
                  34,             0.03244,           0.0067374,            0.003787,             0.90054,             0.89337,             0.93739,             0.65552,            0.025605,           0.0070737,           0.0054591,            0.006733,            0.006733,            0.006733
                  35,            0.030727,           0.0068473,           0.0041366,             0.88905,             0.90099,             0.94629,             0.64197,            0.027049,           0.0071349,           0.0052563,            0.006634,            0.006634,            0.006634
                  36,            0.029491,            0.006381,            0.003684,             0.89397,             0.90775,             0.94774,             0.68395,            0.025456,           0.0067863,           0.0050069,            0.006535,            0.006535,            0.006535
                  37,            0.028927,           0.0065254,           0.0036868,             0.93875,             0.87591,             0.95406,             0.68295,            0.028199,           0.0067726,           0.0046386,            0.006436,            0.006436,            0.006436
                  38,            0.030513,           0.0063429,           0.0035368,              0.9461,             0.88422,             0.95072,             0.70896,            0.027176,           0.0066675,           0.0042984,            0.006337,            0.006337,            0.006337
                  39,            0.030944,           0.0062191,           0.0038517,              0.9172,             0.91085,             0.95243,             0.69615,              0.0264,            0.006803,           0.0049759,            0.006238,            0.006238,            0.006238
                  40,            0.028931,           0.0064181,           0.0040357,             0.93622,             0.89805,             0.95061,             0.69867,            0.025344,           0.0067196,           0.0048164,            0.006139,            0.006139,            0.006139
                  41,            0.027823,           0.0063901,           0.0032857,             0.91534,             0.90313,             0.95164,             0.69628,            0.024747,           0.0067019,           0.0043741,             0.00604,             0.00604,             0.00604
                  42,            0.028548,           0.0060589,           0.0033923,             0.93248,             0.89222,             0.94125,              0.6744,            0.025218,           0.0068204,           0.0049245,            0.005941,            0.005941,            0.005941
                  43,             0.02812,           0.0060584,           0.0037474,             0.94933,             0.89346,             0.95602,             0.71003,            0.024711,           0.0064299,           0.0053798,            0.005842,            0.005842,            0.005842
                  44,            0.027261,           0.0060696,           0.0039137,             0.93381,             0.89646,             0.95221,             0.70521,            0.023638,           0.0066154,            0.005669,            0.005743,            0.005743,            0.005743
                  45,            0.027905,           0.0058355,           0.0034914,             0.93873,             0.88957,             0.95152,             0.69552,            0.024157,           0.0064907,           0.0045452,            0.005644,            0.005644,            0.005644
                  46,            0.028046,           0.0060199,           0.0033586,             0.93318,             0.88275,             0.94032,              0.6736,            0.026265,           0.0066991,           0.0046082,            0.005545,            0.005545,            0.005545
                  47,            0.028401,           0.0061572,            0.003126,             0.93571,             0.88229,             0.94932,             0.69507,            0.023321,            0.006576,           0.0042201,            0.005446,            0.005446,            0.005446
                  48,            0.025778,           0.0059135,           0.0032459,             0.95245,             0.87882,             0.96096,             0.68119,            0.024024,           0.0062859,           0.0043879,            0.005347,            0.005347,            0.005347
                  49,            0.025456,           0.0056681,           0.0028263,             0.94963,             0.89809,             0.96232,             0.70228,            0.022691,           0.0063902,           0.0039786,            0.005248,            0.005248,            0.005248
                  50,            0.026194,           0.0060294,           0.0027968,             0.95004,             0.91111,             0.95726,              0.7132,            0.023187,           0.0062608,           0.0037463,            0.005149,            0.005149,            0.005149
                  51,               0.025,           0.0057114,           0.0025171,             0.94306,             0.91416,             0.95873,             0.73106,            0.022305,           0.0062882,            0.003783,             0.00505,             0.00505,             0.00505
                  52,            0.024441,           0.0058151,           0.0026584,             0.94896,             0.90567,             0.95757,             0.72796,             0.02233,           0.0062829,           0.0039162,            0.004951,            0.004951,            0.004951
                  53,            0.024589,           0.0058064,           0.0027988,             0.94901,             0.90028,             0.95927,              0.7289,            0.022987,           0.0062671,           0.0038922,            0.004852,            0.004852,            0.004852
                  54,            0.025762,           0.0055468,           0.0030339,             0.91832,             0.93499,             0.96339,             0.73094,             0.02211,           0.0062423,           0.0040677,            0.004753,            0.004753,            0.004753
                  55,            0.024526,           0.0055266,            0.002922,             0.94092,             0.90446,             0.95998,             0.69556,            0.022881,           0.0063326,           0.0042934,            0.004654,            0.004654,            0.004654
                  56,            0.025449,           0.0055853,           0.0027249,             0.94024,             0.90325,             0.96074,             0.73837,             0.02165,           0.0060833,           0.0039219,            0.004555,            0.004555,            0.004555
                  57,            0.023173,           0.0055341,           0.0024505,             0.94146,              0.9203,             0.96278,             0.73669,              0.0215,           0.0060011,           0.0035047,            0.004456,            0.004456,            0.004456
                  58,            0.024099,           0.0055154,           0.0025237,             0.95369,             0.92143,             0.96302,             0.73176,             0.02167,           0.0060228,           0.0034692,            0.004357,            0.004357,            0.004357
                  59,            0.024363,            0.005351,           0.0025145,             0.94382,             0.92363,              0.9613,              0.7458,            0.020263,           0.0059686,           0.0039925,            0.004258,            0.004258,            0.004258
                  60,            0.022749,           0.0052875,           0.0027022,             0.94141,             0.90345,             0.96036,             0.73191,            0.021934,           0.0060293,           0.0038352,            0.004159,            0.004159,            0.004159
